Bandit,Reward,Algorithm
2,2.5116476121285727,Thompson Sampling
2,4.635077678752821,Thompson Sampling
2,4.159750841423653,Thompson Sampling
2,2.7590133732382394,Thompson Sampling
2,3.091529540856301,Thompson Sampling
2,3.172220638087354,Thompson Sampling
2,1.7645413669188017,Thompson Sampling
2,3.6336884598889982,Thompson Sampling
2,4.497613109994613,Thompson Sampling
2,2.932873700414208,Thompson Sampling
2,1.8256463818120807,Thompson Sampling
2,3.445067890255303,Thompson Sampling
2,3.7231486476713127,Thompson Sampling
2,2.8806067969529043,Thompson Sampling
2,4.168099110565665,Thompson Sampling
2,3.2275291873074936,Thompson Sampling
2,3.43252691954006,Thompson Sampling
2,2.406776106693222,Thompson Sampling
2,1.1228415608612803,Thompson Sampling
2,2.8662967682080867,Thompson Sampling
2,1.5825943606641366,Thompson Sampling
2,2.912199530290703,Thompson Sampling
2,2.113368405045816,Thompson Sampling
2,3.0505392906984294,Thompson Sampling
2,4.323654406099342,Thompson Sampling
2,2.7097907844398446,Thompson Sampling
2,4.1244857609656,Thompson Sampling
2,3.5573292849375036,Thompson Sampling
2,0.8010069792581818,Thompson Sampling
2,3.063941552234286,Thompson Sampling
2,3.8197914545835228,Thompson Sampling
2,3.6220389594852684,Thompson Sampling
2,2.5627915196147866,Thompson Sampling
2,1.0755793380264238,Thompson Sampling
2,3.795432325190864,Thompson Sampling
2,3.8083776179245366,Thompson Sampling
2,4.084493891297859,Thompson Sampling
2,2.3632607845546274,Thompson Sampling
2,2.228788859508413,Thompson Sampling
2,4.019219373332817,Thompson Sampling
2,3.124451142182915,Thompson Sampling
2,2.2153626464595106,Thompson Sampling
2,1.9093477660624805,Thompson Sampling
2,2.7957525616975527,Thompson Sampling
2,3.464671510031202,Thompson Sampling
2,3.6646860311042437,Thompson Sampling
2,3.164509185308274,Thompson Sampling
2,4.53940670174801,Thompson Sampling
2,2.7914484180670844,Thompson Sampling
2,4.24325818591724,Thompson Sampling
2,2.7718509436877588,Thompson Sampling
2,2.303686852690106,Thompson Sampling
2,1.9397080650536915,Thompson Sampling
2,4.694151668998817,Thompson Sampling
2,3.2100093896547546,Thompson Sampling
2,3.4864007709538143,Thompson Sampling
2,3.8566958741492687,Thompson Sampling
2,1.824696957269328,Thompson Sampling
2,1.4748259528048857,Thompson Sampling
2,5.190467631008648,Thompson Sampling
2,3.6147970024449276,Thompson Sampling
2,2.3625267675757664,Thompson Sampling
2,3.3331780210313675,Thompson Sampling
2,2.892961527876181,Thompson Sampling
2,3.347297784263715,Thompson Sampling
2,2.110828032393969,Thompson Sampling
2,1.8052193101561738,Thompson Sampling
2,3.7445625641927203,Thompson Sampling
2,3.5667538017648512,Thompson Sampling
2,1.6687067855392796,Thompson Sampling
2,3.1456783039992295,Thompson Sampling
2,2.7394405062715013,Thompson Sampling
2,2.87985357928606,Thompson Sampling
2,2.6789161592386495,Thompson Sampling
2,3.4337396880573605,Thompson Sampling
2,2.999850722450875,Thompson Sampling
2,3.350735101565213,Thompson Sampling
2,1.7136609137721797,Thompson Sampling
2,4.4243383253127835,Thompson Sampling
2,2.697414991589685,Thompson Sampling
2,3.5186263310631367,Thompson Sampling
2,3.491144380905235,Thompson Sampling
2,3.6790841132025545,Thompson Sampling
2,3.3762149910681885,Thompson Sampling
2,1.9765867359835694,Thompson Sampling
2,3.007789658893232,Thompson Sampling
2,4.837921721781625,Thompson Sampling
2,3.206712963182063,Thompson Sampling
2,2.107788312543677,Thompson Sampling
2,2.869564112046498,Thompson Sampling
2,4.346078153698433,Thompson Sampling
2,3.57467159553185,Thompson Sampling
2,2.1629333982927905,Thompson Sampling
2,3.4011109970535895,Thompson Sampling
2,2.7879808726151416,Thompson Sampling
2,2.073259891506893,Thompson Sampling
